Shelfmark,Contents,Link to Digitised Manuscripts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 3974,"Aimoin of Fleury, Historia Francorum",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_3974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 398,"Orations and speeches made by the Lord Keeper, Nicholas Bacon, 1558–1579",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 3983,Florimont,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_3983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 3992,Voeux du Paon,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_3992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4000,An epistolary discourse in defence of the Protestant religion,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4011,"An English miscellany including poems by John Lydgate; Craft of Dying; Duodecim Gradus Humilitatis; Counsels of Isidore; The Libel of English Policy; Osbern Bokenham, Mappula Anglie; John Skelton, Of the Death of the Noble Prince, Kynge Edwarde the Forth; John Russell, Book of Nurture",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 402,"Anonymous compiler, twelve collections (Distinctiones) of excerpts from Church Fathers and other authorities",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4070,"Anglo-Norman Psalter 
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 41,"Description of royal ceremonies and related accounts, during the reigns of Edward IV, Richard III, Henry VII and Henry VIII",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4114,"Jacques Despars, Commentary on Avicenna, Canon Medicine ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 416,A volume containing works and correspondence belonging to the martyrologist John Foxe,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 417,The second of two volumes of works and letters belonging to the martyrologist John Foxe,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 418,"John Foxe, De tota sacramenti eucharistiae causa",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 419,A volume of treatises and letters on theological matters belonging to the martyrologist John Foxe,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 420,Papers on theological matters belonging to John Foxe,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4203,"John Lydgate, The Fall of Princes",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4205,"'Sir Thomas Holme's Book of Arms': anonymous verses on the kings of England, to Henry VI; Military Roll of Arms; Legh's Men of Arms",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 421,Papers of John Foxe concerning persecutions of proto-Protestants and Protestants,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4217,An inventory of King Henry VIII’s wardrobe at London,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 422,Papers of John Foxe relating to Protestant and Catholic persecutions in England,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4235,"Thomas Hobbes, The Elements of Law, Natural and Politic ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4236,"Thomas Hobbes, The Elements of Law, Natural and Politic ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 424,"John Foxe's papers, Volume 9",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4241,"Aristotle, Metaphysica ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 425,"John Foxe's papers, Volume 10",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4260,"John Lydgate, Life of Our Lady",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4292,Sanctuary book of Beverley Minster,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4333,"Moral and Didactic poems and treatises
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4334,Girard de Roussillon,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4346,Medical miscellany ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4347,The Aphorisms of Hippocrates and other maxims ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4350,Astronomical miscellany ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4361,Livre de Sydrac ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4372,Les Fais et les Dis des Romains,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4373,Les Fais et les Dis des Romains,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4374/1,Les Fais et les Dis des Romains,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4374/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4374/2,Les Fais et les Dis des Romains,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4374/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4374/3,Les Fais et les Dis des Romains,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4374/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4375/1,Les Fais et les Dis des Romains,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4375/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4375/2,Les Fais et les Dis des Romains,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4375/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4375/3,Les Fais et les Dis des Romains,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4375/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4376,"Jean de Courcy, Chronique de la Bouquechardière",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4379,"The Harley Froissart, vol 1",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4380,"The Harley Froissart, vol 2",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4388,"Anglo-Norman miscellany, including Les proverbes de Salemon and Chastoiement d’un pere a son fils 
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4389,Roman de Tristan in prose,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4399,"Guillaume de Diguleville , Pèlerinage de vie humaine",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4400,"Compilations concerning the nobility, magistrates and antiquities of Metz, including Jehan Praillon's Chronique des comtes, des voués et des échevins de Metz",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4404,"Doon de la Roche, Ogier",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4409,Vie de saint Denys et ses compaignons,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4411,"Le roman de Renard le Contrefait (only the part in prose); excerpts from Les chroniques de Flandre; Les chroniques de Flandre with excerpts of the Grandes chroniques de France; Charles V's response to the schedule sent by Edward I, king of England",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4412,Bible historiale,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4418,"Jean d'Arras, Roman de Mélusine",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4419,Lancelot,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4425,Roman de la Rose,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4431,"Christine de Pizan, collected works ('The Book of the Queen')",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4482,"Le Roman de Troie
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4486,"A treatise on alchemy and medicine, and the Livre de Sydrac ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4487,Florimont,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 45,A Myrour to Lewde Men and Wymmen,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 46 ,"Glosses on the Gospels of St Matthew and St Mark
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4657,"Latin and Anglo-Norman devotional miscellany 
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4664,Coldingham Breviary,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4698,"Jewels received by Elizabeth I, 1572–1586",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4718,An inventory of the rarities of King Charles I in the Privy Gallery at Whitehall,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4735,"Commentary on Aristotle, Physica; Nicolaus Lakmann, Formalitates ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4751,"Bestiary, with extracts from Giraldus Cambrensis on Irish birds",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4760,A Treatise of the true Causes of the Prævarication of Churches Liberties of England,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4762/2,"Sir Francis Drake and Sir John Hawkins, grant to Sir Thomas Baskerville",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4762/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4767,"Lycophron, Alexandra",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4772,"The first part of the ‘Montpellier Bible’, containing the Book of Genesis to the Book of Malachi",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4773,"The second part of the 'Montpellier Bible', containing the Book of Proverbs to the Book of Revelation",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4789,"Bartholomaeus Anglicus, De Proprietatibus Rerum, in the English translation by John Trevisa",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4796,"Cicero, Selected Works, in a Castilian translation by Alonso de Cartagena",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4804/1,"Prologue on Psalms attributed to St Augustine; Book of Psalms including Gilbert de la Porrée, Commentarius in Psalterium 
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4804/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4826,"John Lydgate, The Lives of SS Edmund and Fremund; John Lydgate and Benedict Burgh, Secrees of Old Philisoffres; Thomas Hoccleve, Regiment of Princes. 
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4831,"Paulinus of Nola, Letters and Poems
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4866,"Thomas Hoccleve, The Regiment of Princes ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4867,"Ovid , translated by Octavien de St-Gelais, Heroides",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4868,"Suetonius, Vita Plinii; Johannes Mansionarius, Brevis adnotatio de duobus Pliniis; Pliny the Younger, De Viris Illustribus; Epistolae",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4903,Continuations of the Roman des sept sages: Helcanus   Peliarmenus  and Kanor ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4904,"St Augustine, Enarrationes in Psalmos",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 491,"William of Jumièges, Gesta Normannorum ducum 
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4912,"Geoffrey Chaucer, Troilus and Criseyde",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4924,"Thomas Osborne, Treatise on arithmetic ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4927,"Cicero, various speeches, De amicitia and Paradoxa Stoicorum; Pseudo-Sallust, Invectiva in Ciceronem",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4940,Breviari d'amor,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4943,"Orders of the Privy Council, 1570-1580",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4951,"John Halgren of Abbeville, Sermones dominicales; Roman Gradual",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4955,Verse compilation (‘The Newcastle MS’),http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4967,"Peter of Blois, Speculum Iuris Canonici; Justinian, Institutiones; Liber Catonianus",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4970,"Aristotle, De animalibus ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4972,"Apocalypse in prose, prologue of Gilbert de la Porrée , Prophétie de la sibylle Tiburtine",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4973,"Jordanus de Nemore, De elementis arismetica artis ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4977,Medical compendium ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4978,"St Jerome, Sermo de persecutione christianorum; Bede, Historia Ecclesiastica (Books 1-5); Collection of canon law 
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4979,"Roman d'Alexandre , in prose, with lacunae",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4980,"Augustine, Fragment from De ciuitate Dei; Bede, Expositio actuum apostolorum; Alcuin, De fide Sanctae Trinitatis et de incarnatione Christi and other Alcuin's works
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4982,"Constantinus Africanus, Theorica Pantegni ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4983,"Nicolaus Salernitanus, Antidotarium ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4984,"Collection of texts about St Martin of Tours: Sulpicius Severus, Vita Sancti Martini, Epistolae, Dialogi (Books I-III); Gregory of Tours, extracts from the Historia Francorum (with Books I-IV complete) and Libri Octo Miraculorum",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 4986,Pharmacopeial compilation ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_4986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 5008,The first of two volumes of copies of letters to and from the Privy Council,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_5008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 5009,The second of two volumes of copies of letters to and from the Privy Council,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_5009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harley MS 5041 
","A Patristic florilegium, imperfect; Vita Sancti Fursei, prayers and chants, imperfect. 
",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_5041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 5051,Extracts partly compiled by Robert Yeamans (d.1665) (see Fontes p.365) from Greek and Latin authors,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_5051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 5059,Treatise by Metrophanes Kritopoulos on the Eastern Orthodox Church ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_5059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 5086,"Edward of Norwich, The Master of Game; The Babees’s Book; The ABC of Aristotle; Dietary for King Henry V; Treatise on equine medicine",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_5086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley MS 5087,Edward VI's letters and declamations,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Harley_MS_5087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
